,t_ob,风向,PM10,PM2.5,室内温度,室内湿度,SO2,O3,NOx,NO2,NO,CO,气压,大气湿度,大气温度,风速,serious,serious_imbalanced
0,2020-03-01 00:10:00,338.0,32.7,23.4,25.0,31.35,3.74,38.23,28.54,27.04,0.98,0.76,1015.2,91.0,9.3,1.4,0,0
1,2020-03-01 00:20:00,173.5,31.85,22.8,25.0,31.39,3.94,36.265,28.05,26.55,0.98,0.745,1015.15,91.2,9.3,1.0,0,0
2,2020-03-01 00:30:00,222.66666666666663,31.8,22.666666666666668,25.01,31.37,4.233333333333333,36.626666666666665,27.64333333333333,26.203333333333333,0.94,0.71,1015.1666666666666,91.46666666666664,9.3,1.0333333333333334,0,0
3,2020-03-01 00:40:00,256.25,32.025000000000006,22.825,25.015,31.3775,4.1575,36.705,27.105,25.685,0.9275,0.69,1015.15,91.775,9.3,0.9,0,0
4,2020-03-01 00:50:00,205.8,32.38000000000001,23.1,25.012,31.382,3.886,36.616,26.674,25.256,0.926,0.6739999999999999,1015.08,92.04,9.260000000000002,1.06,0,0
5,2020-03-01 01:00:00,173.16666666666666,33.25000000000001,23.7,25.01,31.418333333333333,4.0183333333333335,36.61333333333333,26.17333333333333,24.771666666666665,0.915,0.6649999999999999,1015.0,92.28333333333332,9.233333333333334,1.3166666666666669,0,0
6,2020-03-01 01:10:00,117.33333333333331,34.083333333333336,24.25,24.99666666666667,31.451666666666668,4.096666666666667,36.74166666666667,25.16166666666666,23.795,0.8916666666666666,0.6433333333333332,1014.8833333333332,92.68333333333332,9.2,1.3666666666666665,0,0
7,2020-03-01 01:20:00,117.0,34.93333333333333,24.816666666666663,24.955,31.505,4.343333333333333,36.63666666666666,24.905,23.536666666666665,0.8933333333333332,0.6199999999999999,1014.8166666666666,93.05,9.166666666666668,1.5499999999999998,0,0
8,2020-03-01 01:30:00,64.66666666666667,35.96666666666667,25.649999999999995,24.90833333333333,31.591666666666665,4.513333333333333,35.975,24.79833333333333,23.425,0.8966666666666665,0.6116666666666665,1014.7166666666668,93.4,9.133333333333336,1.7166666666666666,0,0
9,2020-03-01 01:40:00,6.666666666666667,36.61666666666667,26.149999999999995,24.85666666666667,31.691666666666663,4.543333333333333,35.195,25.016666666666666,23.629999999999995,0.905,0.6016666666666665,1014.65,93.68333333333334,9.1,1.9,0,0
10,2020-03-01 01:50:00,7.833333333333333,38.21666666666668,27.3,24.803333333333335,31.788333333333327,4.901666666666666,34.2,25.28333333333333,23.876666666666665,0.9183333333333332,0.5983333333333332,1014.65,93.96666666666664,9.083333333333334,1.883333333333333,0,0
